FileName,Area,BoundingBoxArea,ConvexArea,Eccentricity,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,MaxIntensity,MinIntensity,MeanIntensity,Perimeter,filled_area,solidity,Porosity,Permeability
TC (545).jpeg,736.375,7069.625,5701.9375,0.78965459,50.35200892,14.39171242,81.49711847,45.29557982,202.875,85.0625,158.4904826,361.8376058,2974.625,0.721416652,0.256,336.94
BB (738).jpg,1508.75,13759.625,10945.625,0.809096534,64.92924663,-6.479501107,112.5236376,66.63924064,214.875,71,154.7043415,399.6374772,6244.375,0.721433966,0.257,11.3
SD (486).jpeg,1197.925,10093,9305.9,0.703268628,41.96959634,1.378405945,68.49095088,55.14885613,24.6,12.9,20.80401121,402.9695885,5097.3,0.721458895,0.158,278.85
ALB (2266).jpeg,507.5652174,4517.043478,3756.347826,0.739274578,39.17815872,4.331060181,59.39070402,36.94869796,125.9565217,87.13043478,112.9557207,298.1119344,2033.826087,0.721507974,0.208,10.23
BB (680).jpg,990.3125,9725.166667,7624.333333,0.748512017,60.09761423,1.492642403,89.9357623,58.85731255,218.5833333,66.08333333,166.2949302,411.7151934,3987,0.721512403,0.257,11.3
TC (389).jpeg,1090.727273,7465.272727,6148.363636,0.707931,52.6134033,16.20755273,79.33324105,48.56706575,198.5454545,96.90909091,158.0410476,345.480516,4370.727273,0.721539339,0.256,336.94
TC (1094).jpeg,1324.027778,12235.11111,9609.888889,0.735820565,74.1693423,5.724184678,114.4246815,69.33256996,210.8888889,83.66666667,159.006391,505.7178208,5315.444444,0.721618447,0.256,336.94
ALB (145).jpeg,1200.025,10913.8,8951.6,0.839039836,56.18689546,-4.758464918,105.5245637,58.57993203,176.2,112.9,153.3248939,381.1849168,4800.9,0.72163603,0.208,10.23
ALB (648).jpeg,1200.025,10913.8,8951.6,0.839039836,56.18689546,-4.758464918,105.5245637,58.57993203,176.2,112.9,153.3248939,381.1849168,4800.9,0.72163603,0.208,10.23
BB (659).jpg,994.7291667,9552.333333,7937.333333,0.804788951,50.43122127,2.009062997,84.00739401,52.05112733,205.6666667,74.58333333,158.1595692,368.6118865,3999.083333,0.721657954,0.257,11.3
TC (565).jpeg,467.44,4493.48,3616.08,0.711996749,35.05699252,22.54676337,56.19630467,34.27760303,197.56,99,158.183575,264.4567228,1873.28,0.721685267,0.256,336.94
ALB (1308).jpeg,841.875,7876.857143,6748.571429,0.798795888,49.04603712,11.89421519,81.29330841,52.2528782,148.7857143,119.5714286,138.8126298,415.1488556,3380.928571,0.721692939,0.208,10.23
SD (944).jpeg,847.6607143,8538.928571,7107.642857,0.7371249,45.99465231,-9.18932601,83.06166558,49.30040723,25.85714286,12.07142857,21.90355709,362.9088897,3457,0.721694152,0.158,278.85
TC (629).jpeg,621.2894737,6093.684211,4751.578947,0.755632305,42.91853462,1.204509166,69.61377294,40.62968151,203,90.94736842,157.5782683,295.229156,2496.368421,0.721694239,0.256,336.94
SD (326).jpeg,2416.6,19455.6,15289.8,0.571878879,103.5190543,36.40031885,146.1994266,113.1257884,145,67.2,120.875709,613.5560026,9666.4,0.721714871,0.158,278.85
BB (28).jpg,582.4,5461.25,4286.1,0.778060153,43.38952569,5.028139302,68.61772021,40.72110104,237.75,125.75,200.8506168,351.395577,2329.6,0.721744157,0.257,11.3
SD (215).jpeg,1988.125,17770.16667,16062.5,0.780000462,78.01646027,-10.97162126,127.006187,84.36970954,142,79,120.4407845,748.6537213,8047.666667,0.721746782,0.158,278.85
BB (693).jpg,1092.522727,8650.727273,6772.909091,0.746545766,50.11306714,-15.52548058,77.22501292,49.62667159,214.8181818,87.81818182,165.2917458,333.8232026,4419.636364,0.721761404,0.257,11.3
TC (607).jpeg,531.8295455,5144.954545,3974.318182,0.750980774,42.3860463,11.6329435,67.54890689,38.74746287,203.2272727,88.95454545,159.7963097,297.6115274,2127.318182,0.721791943,0.256,336.94
BB (1216).jpg,271.1428571,2796.02381,2317.952381,0.757747026,26.41699325,6.953934224,42.3697016,26.60781639,227.7857143,136.4285714,196.394124,220.5509584,1086.97619,0.72180756,0.257,11.3
BB (801).jpg,2416.1,20705.4,19043,0.779131628,89.23008038,36.0731142,146.5586057,95.53601506,213.4,47,138.3676106,619.1606707,9827.2,0.721856792,0.257,11.3
SD (112).jpeg,982,9254.5,7551.333333,0.695434398,62.05036294,-4.98211683,94.03051207,61.08898844,144.5833333,79.66666667,127.8958529,485.2208691,4001.916667,0.721898305,0.158,278.85
SD (676).jpeg,1994.416667,16957.33333,16239.5,0.774841531,64.25586427,-5.191622938,116.7700346,87.91435822,25.66666667,11.33333333,20.86487514,688.8645439,8518,0.721899292,0.158,278.85
BB (876).jpg,2417.5,21312.2,16652.8,0.698092895,86.05753199,-37.81024762,141.9718668,107.7506295,217.4,59.6,150.5443676,609.5677775,9947.8,0.721937322,0.257,11.3
SD (311).jpeg,1496.40625,13124,10161.25,0.79618873,70.03761964,-65.93535597,108.5924601,68.24853454,144.875,75.125,121.493334,509.5831752,6048.5,0.721939298,0.158,278.85
BB (1021).jpg,657.7638889,6981.055556,5043.333333,0.776097897,46.48030497,7.814774059,79.3828419,45.3932681,224.1111111,94.94444444,177.8947196,300.3623074,2657.722222,0.722017114,0.257,11.3
ALB (1427).jpeg,468.09,3922.64,3372.16,0.801829161,33.1232479,10.07471734,49.87045203,31.42375213,147.08,123.92,138.3685349,264.0638714,1887.16,0.722019076,0.208,10.23
ALB (1755).jpeg,2017.083333,17348.83333,15997.33333,0.63035207,73.14984563,20.04646492,114.0035411,92.55787098,118.3333333,73,104.4263387,486.7305072,8190.5,0.722033934,0.208,10.23
ALB (240).jpeg,561.1309524,4933.904762,4122.380952,0.766540464,38.32327068,-18.07056828,58.33850142,34.60028073,187.4761905,103.6666667,153.3884749,275.9366057,2244.52381,0.722044457,0.208,10.23
ALB (743).jpeg,561.1309524,4933.904762,4122.380952,0.766540464,38.32327068,-18.07056828,58.33850142,34.60028073,187.4761905,103.6666667,153.3884749,275.9366057,2244.52381,0.722044457,0.208,10.23
BB (1366).jpg,269.672619,2759.166667,2240.404762,0.768179039,28.94562522,2.761682814,46.53792415,26.86598806,230.7380952,137.1428571,197.8679957,234.7095546,1082.547619,0.722082217,0.257,11.3
SD (513).jpeg,910.1923077,8910.538462,7739.153846,0.827453049,40.78565235,-1.995286898,73.39897855,47.23965034,25.38461538,13.07692308,20.92471643,412.8601035,3872,0.722114958,0.158,278.85
TC (1371).jpeg,914.7692308,8291.153846,6422.076923,0.809825531,51.93440394,5.01497966,81.20662195,45.38635889,179.5384615,134,162.9498207,373.7311658,3700.615385,0.722138242,0.256,336.94
BB (866).jpg,452.3365385,4580.538462,3693.115385,0.713950196,30.97171073,19.07631992,49.04606629,33.8435852,218.6923077,133.3461538,183.0980763,233.5717989,1810.115385,0.722142502,0.257,11.3
TC (155).jpeg,2403,22680.2,15395.2,0.762825576,108.5551768,-7.745660148,173.5213709,97.0128392,218.4,63.4,150.6738676,742.6784556,9628.2,0.722172007,0.256,336.94
SD (930).jpeg,1198.9,10544.4,9146.5,0.704276327,49.05412053,11.94188354,78.71949489,63.5729734,26.2,12.2,21.24499968,393.4512119,4960.8,0.722182624,0.158,278.85
